case_id,book_id,type,text_A,text_B,label_A,label_B,decision,rule_applied,precedent_id,new_precedent,resolved_in_favor_of,judge_id,date
C0012,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0013,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0014,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0015,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0016,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0017,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0018,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0019,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0020,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0021,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0022,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0023,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0024,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0025,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0026,RUS-O_long_01,NER_label,Обнимамы,Обнимамы,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0027,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0028,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0029,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0030,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0031,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0032,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0033,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0034,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0035,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0036,RUS-O_long_01,NER_missed_by_B,бабочек,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0037,RUS-O_long_01,NER_missed_by_B,бабочек,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0038,RUS-O_long_01,NER_missed_by_B,птиц,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0039,RUS-O_long_01,NER_missed_by_B,бегемота,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0040,RUS-O_long_01,NER_missed_by_B,птиц,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0041,RUS-O_long_01,NER_missed_by_B,жирафа,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0042,RUS-O_long_01,NER_missed_by_B,птицы,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0043,RUS-O_long_01,NER_missed_by_B,зверей,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0044,RUS-O_long_01,NER_missed_by_B,зверят,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0045,RUS-O_long_01,NER_missed_by_B,слоны,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0046,RUS-O_long_01,NER_missed_by_B,птицы,,PER_ROLE,,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,A,ADJ,2026-06-29
C0047,RUS-O_long_01,NER_missed_by_A,,маленький,,PER_ROLE,keep A,Прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0048,RUS-O_long_01,NER_missed_by_A,,маленький,,PER_ROLE,keep A,Прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0049,RUS-O_long_01,NER_missed_by_A,,воспитателя,,PER_ROLE,PER_ROLE,социальная функция персонажа,A-3,False,B,ADJ,2026-06-29
C0050,RUS-O_long_01,NER_missed_by_A,,мудрой,,PER_ROLE,keep A,Сверхразметка — природа в тексте не действует как персонаж с репликами,A-8,False,A,ADJ,2026-06-29
C0051,RUS-O_long_01,NER_missed_by_A,,природе,,PER_ROLE,keep A,Сверхразметка — природа в тексте не действует как персонаж с репликами,A-8,False,A,ADJ,2026-06-29
C0052,RUS-O_long_01,NER_missed_by_A,,Природа,,PER_ROLE,keep A,Сверхразметка — природа в тексте не действует как персонаж с репликами,A-8,False,A,ADJ,2026-06-29
C0053,RUS-O_long_01,NER_missed_by_A,,маленькая,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0054,RUS-O_long_01,NER_missed_by_A,,мудрого,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0055,RUS-O_long_01,NER_missed_by_A,,друзья,,PER_ROLE,PER_ROLE,устойчивые социальные отношения персонажей,A-9,True,B,ADJ,2026-06-29
C0056,RUS-O_long_01,NER_missed_by_A,,одинокой,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0057,RUS-O_long_01,NER_missed_by_A,,лягушке,,PER_ROLE,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,B,ADJ,2026-06-29
C0058,RUS-O_long_01,NER_missed_by_A,,слонёнок,,PER_ROLE,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,B,ADJ,2026-06-29
C0059,RUS-O_long_01,NER_missed_by_A,,маленькая,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0060,RUS-O_long_01,NER_missed_by_A,,зверят,,PER_ROLE,PER_ROLE,Животные как общий вид или фоновая роль,A-3,False,B,ADJ,2026-06-29
C0061,RUS-O_long_01,NER_missed_by_A,,мудрого,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0062,RUS-O_long_01,NER_missed_by_A,,маленькая,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0063,RUS-O_long_01,NER_missed_by_A,,мудрая,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0064,RUS-O_long_01,NER_missed_by_A,,природа,,PER_ROLE,keep A,Сверхразметка — природа в тексте не действует как персонаж с репликами,A-8,False,A,ADJ,2026-06-29
C0065,RUS-O_long_01,NER_missed_by_A,,умный,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0066,RUS-O_long_01,NER_missed_by_A,,смелый,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0067,RUS-O_long_01,Sentiment_label,"В одной тёплой стране, где солнце заботливо согревало землю своими лучами, а ночью на небе было столько звёзд, что не сосчитать, жил маленький слонёнок.","В одной тёплой стране, где солнце заботливо согревало землю своими лучами, а ночью на небе было столько звёзд, что не сосчитать, жил маленький слонёнок.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,Пейзажные или экспозиционные описания содержат явные положительные оценочные признаки,B-6,True,A,ADJ,2026-06-29
C0068,RUS-O_long_01,Sentiment_label,"— Обними меня, мама! / — просил он перед сном.","— Обними меня, мама! — просил он перед сном.",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Высказывания, выражающие потребность в любви, поддержке или физической близости",B-7,True,B,ADJ,2026-06-29
C0069,RUS-O_long_01,Sentiment_label,"— Обними, мама! / — шептал рано утром.","— Обними, мама! — шептал рано утром.",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Высказывания, выражающие потребность в любви, поддержке или физической близости",B-7,True,B,ADJ,2026-06-29
C0070,RUS-O_long_01,Sentiment_label,— Где ты?,— Где ты?,0 NEUTRAL,-1 NEGATIVE,0 NEUTRAL,Вопросы без явных маркеров тревоги/страха,B-5,False,A,ADJ,2026-06-29
C0071,RUS-O_long_01,Sentiment_label,". О, это был самый настоящий цветущий сад!","О, это был самый настоящий цветущий сад!",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,Восклицательные предложения с явными маркерами радости/восхищения,B-2,False,A,ADJ,2026-06-29
C0072,RUS-O_long_01,Sentiment_label,"Он говорил о солнце и луне, о траве и песках, о львах и антилопах, о крокодилах и лягушках, о птицах и жучках, о мудрой природе, в которой всё придумано как нельзя лучше.","Он говорил о солнце и луне, о траве и песках, о львах и антилопах, о крокодилах и лягушках, о птицах и жучках, о мудрой природе, в которой всё придумано как нельзя лучше.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,Пейзажные или экспозиционные описания содержат явные положительные оценочные признаки,B-6,True,A,ADJ,2026-06-29
C0073,RUS-O_long_01,Sentiment_label,"Природа даёт нам всё, что нужно для жизни, в ней всего достаточно.","Природа даёт нам всё, что нужно для жизни, в ней всего достаточно.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,Пейзажные или экспозиционные описания содержат явные положительные оценочные признаки,B-6,True,A,ADJ,2026-06-29
C0074,RUS-O_long_01,Sentiment_label,"— Разумеется, / — хмыкнул Марабу, посмотрев на неё сверху вниз.","— Разумеется, — хмыкнул Марабу, посмотрев на неё сверху вниз.",-1 NEGATIVE,0 NEUTRAL,0 NEUTRAL,"в контексте отсутствуют конфликт, насмешка, унижение или эмоциональное страдание персонажа",B-8,True,B,ADJ,2026-06-29
C0075,RUS-O_long_01,Sentiment_label,Солнце всё так же лениво выкатывалось на небосклон и дарило миру своё тепло.,Солнце всё так же лениво выкатывалось на небосклон и дарило миру своё тепло.,+1 POSITIVE,0 NEUTRAL,0 NEUTRAL,"ближайший контекст показывает, что позитивные образы становятся частью неблагоприятной ситуации",B-9,True,B,ADJ,2026-06-29
C0076,RUS-O_long_01,Sentiment_label,"Каждое утро Обнимашка набирал в хобот воду из ручья и поливал цветы, поникшие от жары.","Каждое утро Обнимашка набирал в хобот воду из ручья и поливал цветы, поникшие от жары.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Действия персонажа, направленные на помощь, заботу или поддержку других, получают положительную оценку, даже если происходят на фоне неблагоприятной ситуации",B-10,True,A,ADJ,2026-06-29
C0077,RUS-O_long_01,Sentiment_label,Но…,Но…,-1 NEGATIVE,0 NEUTRAL,0 NEUTRAL,отрицательная эмоция или конфликт появляются только в следующем высказывании,B-11,True,B,ADJ,2026-06-29
C0078,RUS-O_long_01,Sentiment_label,Он очень любил сидеть рядом с водой и смотреть на своё отражение.,Он очень любил сидеть рядом с водой и смотреть на своё отражение.,+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Высказывания выражают удовольствие, привязанность, комфорт или внутреннее спокойствие",B-12,True,A,ADJ,2026-06-29
C0079,RUS-O_long_01,Sentiment_label,— Ква. / — Лягушка развела лапками и прыгнула в кусты.,— Ква. — Лягушка развела лапками и прыгнула в кусты.,0 NEUTRAL,-1 NEGATIVE,-1 NEGATIVE,"Краткие реплики, жесты беспомощности или уход персонажа  выражают одиночество, утрату, бессилие или последствия неблагополучной ситуации.",B-13,True,B,ADJ,2026-06-29
C0080,RUS-O_long_01,Sentiment_label,— Мне бы хотелось спрятать тебя от всех тревог на свете.,— Мне бы хотелось спрятать тебя от всех тревог на свете.,-1 NEGATIVE,+1 POSITIVE,+1 POSITIVE,"выражение заботы, использующее «тревоги» метафорически, а не описание текущего испуга",B-3,False,B,ADJ,2026-06-29
C0081,RUS-O_long_01,Sentiment_label,— Не грусти.,— Не грусти.,0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Действия персонажа, направленные на помощь, заботу или поддержку других, получают положительную оценку, даже если происходят на фоне неблагоприятной ситуации",B-10,True,B,ADJ,2026-06-29
C0082,RUS-O_long_01,Sentiment_label,"— Я должен уберечь наш ручей, / — задумчиво прошептал слонёнок.","— Я должен уберечь наш ручей, — задумчиво прошептал слонёнок.",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Действия персонажа, направленные на помощь, заботу или поддержку других, получают положительную оценку, даже если происходят на фоне неблагоприятной ситуации",B-10,True,B,ADJ,2026-06-29
C0083,RUS-O_long_01,Sentiment_label,"— Точнее, то, что от него осталось.","— Точнее, то, что от него осталось.",-1 NEGATIVE,+1 POSITIVE,-1 NEGATIVE,Негативная тональность определяется фокусом на ущербе или потере,B-14,True,A,ADJ,2026-06-29
C0084,RUS-O_long_01,Sentiment_label,"Бережно вернув кувшинки в воду, слонёнок сел рядом и приготовился ждать.","Бережно вернув кувшинки в воду, слонёнок сел рядом и приготовился ждать.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Действия персонажа, направленные на помощь, заботу или поддержку других, получают положительную оценку, даже если происходят на фоне неблагоприятной ситуации",B-10,True,A,ADJ,2026-06-29
C0085,RUS-O_long_01,Sentiment_label,— Чтобы мы могли им любоваться!..,— Чтобы мы могли им любоваться!..,+1 POSITIVE,-1 NEGATIVE,+1 POSITIVE,"Высказывания, выражающие восхищение красотой объекта или желание сохранить его для себя и других, размечаются как положительные.",B-15,True,A,ADJ,2026-06-29
C0086,RUS-O_long_01,Sentiment_label,Чтобы кувшинки плавали как прежде!,Чтобы кувшинки плавали как прежде!,+1 POSITIVE,-1 NEGATIVE,+1 POSITIVE,"Высказывания, выражающие восхищение красотой объекта или желание сохранить его для себя и других, размечаются как положительные.",B-15,True,A,ADJ,2026-06-29
C0087,RUS-O_long_01,Sentiment_label,Чтобы лягушки квакали!..,Чтобы лягушки квакали!..,+1 POSITIVE,-1 NEGATIVE,+1 POSITIVE,"Высказывания, выражающие восхищение красотой объекта или желание сохранить его для себя и других, размечаются как положительные.",B-15,True,A,ADJ,2026-06-29
C0088,RUS-O_long_01,Sentiment_label,"— Значит, я не прав?","— Значит, я не прав?",-1 NEGATIVE,0 NEUTRAL,-1 NEGATIVE,осознание ошибки без немедленного разрешения,B-4,False,A,ADJ,2026-06-29
C0089,RUS-O_long_01,Sentiment_label,"Значит, я зря обидел бегемотика…","Значит, я зря обидел бегемотика…",-1 NEGATIVE,0 NEUTRAL,-1 NEGATIVE,осознание ошибки без немедленного разрешения,B-4,False,A,ADJ,2026-06-29
C0090,RUS-O_long_01,Sentiment_label,И обезьянку.,И обезьянку.,-1 NEGATIVE,0 NEUTRAL,-1 NEGATIVE,осознание ошибки без немедленного разрешения,B-4,False,A,ADJ,2026-06-29
C0091,RUS-O_long_01,Sentiment_label,"— Ты хотел как лучше, / — покачала головой Обнимама.","— Ты хотел как лучше, — покачала головой Обнимама.",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,персонаж признаёт добрые намерения другого и проявляет понимание вместо осуждения,B-16,True,B,ADJ,2026-06-29
C0092,RUS-O_long_01,Sentiment_label,— А ещё ты очень боялся.,— А ещё ты очень боялся.,-1 NEGATIVE,+1 POSITIVE,-1 NEGATIVE,"Реплики, прямо называющие переживаемые отрицательные эмоции персонажа",B-17,True,A,ADJ,2026-06-29
C0093,RUS-O_long_01,Sentiment_label,Поэтому смотрел лишь в высыхающий пруд.,Поэтому смотрел лишь в высыхающий пруд.,-1 NEGATIVE,+1 POSITIVE,-1 NEGATIVE,фрагмент отражает переживание неблагополучия и ограниченность восприятия ситуацией беды,B-18,True,A,ADJ,2026-06-29
C0094,RUS-O_long_01,Sentiment_label,"Но что ты увидишь, если поднимешь голову?","Но что ты увидишь, если поднимешь голову?",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Вопросы или реплики, направленные на расширение перспективы персонажа, преодоление страха или поиск надежды",B-19,True,B,ADJ,2026-06-29
C0095,RUS-O_long_01,Sentiment_label,— Что — большая река? / — не понял Марабу.,— Что — большая река? — не понял Марабу.,-1 NEGATIVE,0 NEUTRAL,0 NEUTRAL,"Вопросы и реплики, связанные с непониманием или уточнением информации без эмоциональной реакции",B-20,True,B,ADJ,2026-06-29
C0096,RUS-O_long_01,Sentiment_label,— Но как? / — почесал затылок Марабу.,— Но как? — почесал затылок Марабу.,-1 NEGATIVE,0 NEUTRAL,0 NEUTRAL,"Вопросы и реплики, связанные с непониманием или уточнением информации",B-20,True,B,ADJ,2026-06-29
C0097,RUS-O_long_01,Sentiment_label,"— Не у всех нас есть хоботы, / — заметил волчонок Зо.","— Не у всех нас есть хоботы, — заметил волчонок Зо.",-1 NEGATIVE,0 NEUTRAL,0 NEUTRAL,Замечания как часть совместного поиска решения и не выражают негативных эмоций или конфликта,B-21,False,B,ADJ,2026-06-29
C0098,RUS-O_long_01,Sentiment_label,"— Один ты не справишься, / — робко пробормотала газель","— Один ты не справишься, — робко пробормотала газель.",-1 NEGATIVE,0 NEUTRAL,-1 NEGATIVE,"Краткие реплики, жесты беспомощности или уход персонажа выражают одиночество, утрату, бессилие или последствия неблагополучной ситуации",B-13,True,A,ADJ,2026-06-29
C0099,RUS-O_long_01,Sentiment_label,И все зверята сорвали с деревьев по широкому и прочному листу и отправились к Большой реке.,И все зверята сорвали с деревьев по широкому и прочному листу и отправились к Большой реке.,+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Коллективные действия персонажей, объединённых общей целью помочь или поддержать кого-либо",B-22,True,A,ADJ,2026-06-29
C0100,RUS-O_long_01,Sentiment_label,"А за ними следовали величественные слоны, которых вела Обнимама.","А за ними следовали величественные слоны, которых вела Обнимама.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Коллективные действия персонажей, объединённых общей целью помочь или поддержать кого-либо",B-22,False,A,ADJ,2026-06-29
C0101,RUS-O_long_01,Sentiment_label,"Следом прибежали другие зверята, пришли слоны и, опустив свои хоботы, наполнили пруд.","Следом прибежали другие зверята, пришли слоны и, опустив свои хоботы, наполнили пруд.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Коллективные действия персонажей, объединённых общей целью помочь или поддержать кого-либо",B-22,True,A,ADJ,2026-06-29
C0102,RUS-O_long_01,Sentiment_label,Малыши сидели у воды и любовались её блеском в лунном свете.,Малыши сидели у воды и любовались её блеском в лунном свете.,+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Высказывания, выражающие восхищение красотой объекта",B-15,True,A,ADJ,2026-06-29
C0103,RUS-O_long_01,Sentiment_label,"— Я не жадничал, а просто очень боялся, / — признался Обнимашка.","— Я не жадничал, а просто очень боялся, — признался Обнимашка.",-1 NEGATIVE,+1 POSITIVE,-1 NEGATIVE,"Реплики, прямо называющие переживаемые отрицательные эмоции персонажа",B-17,True,A,ADJ,2026-06-29
C0104,RUS-O_long_01,Sentiment_label,"— Хочешь, я спою тебе песню?","— Хочешь, я спою тебе песню?",0 NEUTRAL,+1 POSITIVE,+1 POSITIVE,"Действия персонажа, направленные на помощь, заботу или поддержку других",B-10,True,B,ADJ,2026-06-29
C0105,RUS-O_long_01,Sentiment_label,"Наконец, в одно особенно доброе утро, на высохшую землю пролился долгожданный дождь.","Наконец, в одно особенно доброе утро, на высохшую землю пролился долгожданный дождь.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Фрагменты, описывающие долгожданное разрешение кризиса",B-23,True,A,ADJ,2026-06-29
C0106,RUS-O_long_01,Sentiment_label,"А где мы сегодня будем спать? / — спросил он, оглядевшись.","А где мы сегодня будем спать? — спросил он, оглядевшись.",-1 NEGATIVE,+1 POSITIVE,-1 NEGATIVE,"Вопросы и реплики, связанные с непониманием или уточнением информации с последующей негативной реакцией",B-20,True,A,ADJ,2026-06-29
C0107,RUS-O_long_01,Sentiment_label,"Они сидели под деревом, и им было тепло и хорошо.","Они сидели под деревом, и им было тепло и хорошо.",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,,B-15,True,A,ADJ,2026-06-29
C0108,RUS-O_long_01,Sentiment_label,— И мы должны быть ему благодарны.,— И мы должны быть ему благодарны.,+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Высказывания, в которых персонаж признаёт добрые намерения другого и проявляет понимание вместо осуждения",B-16,True,A,ADJ,2026-06-29
C0109,RUS-O_long_01,Sentiment_label,"— Ты же расскажешь мне сказку на ночь, правда, мам?","— Ты же расскажешь мне сказку на ночь, правда, мам?",+1 POSITIVE,0 NEUTRAL,+1 POSITIVE,"Высказывания, выражающие потребность в любви, поддержке или физической близости",B-7,True,A,ADJ,2026-06-29
C0110,RUS-O_long_02,NER_missed_by_B,Паровозы,,PER_ROLE,,PER_ROLE,обобщённое название класса объектов,A-3,False,A,ADJ,2026-06-29
C0111,RUS-O_long_02,NER_missed_by_B,паровоз,,PER_ROLE,,PER_ROLE,обобщённое название класса объектов,A-3,False,A,ADJ,2026-06-29
C0112,RUS-O_long_02,NER_missed_by_B,грузовики,,PER_ROLE,,PER_ROLE,обобщённое название класса объектов,A-3,False,A,ADJ,2026-06-29
C0113,RUS-O_long_02,NER_missed_by_B,грузовика,,PER_ROLE,,PER_ROLE,обобщённое название класса объектов,A-3,False,A,ADJ,2026-06-29
C0114,RUS-O_long_02,NER_missed_by_B,Мама,,PER_FAMILY,,PER_FAMILY,стандартное обращение к родителю,A-4,False,A,ADJ,2026-06-29
C0115,RUS-O_long_02,NER_missed_by_A,,экскаватор,,PER_ROLE,PER_ROLE,обобщённое название класса объектов,A-3,False,B,ADJ,2026-06-29
C0116,RUS-O_long_02,NER_missed_by_A,,маленький,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0117,RUS-O_long_02,NER_missed_by_A,,большой,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0118,RUS-O_long_02,NER_missed_by_A,,Бензинович,,PER_NAME,PER_NAME,часть уникального составного имени персонажа,A-6,False,B,ADJ,2026-06-29
C0119,RUS-O_long_02,NER_missed_by_A,,паровоз,,PER_ROLE,PER_ROLE,обобщённое название класса объектов,A-3,False,B,ADJ,2026-06-29
C0120,RUS-O_long_02,NER_missed_by_A,,Бензинович,,PER_NAME,PER_NAME,часть уникального составного имени персонажа,A-6,False,B,ADJ,2026-06-29
C0121,RUS-O_long_02,NER_missed_by_A,,маленький,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0122,RUS-O_long_02,NER_missed_by_A,,Бензинович,,PER_NAME,PER_NAME,часть уникального составного имени персонажа,A-6,False,B,ADJ,2026-06-29
C0123,RUS-O_long_02,NER_missed_by_A,,Самолёт,,PER_ROLE,PER_ROLE,обобщённое название класса объектов,A-3,False,B,ADJ,2026-06-29
C0124,RUS-O_long_02,NER_missed_by_A,,маленький,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
C0125,RUS-O_long_02,NER_missed_by_A,,серебристый,,PER_ROLE,keep A,однословное прилагательное без существительного,A-8,False,A,ADJ,2026-06-29
