precedent_id,task,status,title,rule,example_ru,resolution,notes
A-10,NER,stable,"Non-entities: verbs, prepositions, function words","Only noun phrases denoting entities are annotated. Not entities: verbs; prepositions and conjunctions; adjectives not forming an independent noun phrase (except substantivized ones); nouns denoting attributes/patterns/materials; verse elements (rhymes, onomatopoeia, interjections); adverbs.",«засыпает»; «в горошек»; «огромная»; «Бак» (rhyme),Not annotated,Basic annotation rule.
A-11,NER,stable,Social and professional roles,"Words and phrases denoting social, professional, or functional roles are PER_ROLE if they denote a function/profession/status, are not a unique authorial name, and are not a kinship term of a specific family. Compound roles are annotated as one span.","«сыщик», «воспитатель», «белый клоун», «воздушные гимнасты»",PER_ROLE (one span for compound roles),
A-12,NER,stable,PER_ROLE: vehicle and object categories without unique names,Words denoting categories of vehicles or objects that appear without a unique name are annotated as PER_ROLE when they act as characters or salient objects in the narrative.,"«вертолёты» 'helicopters' (RUS-T_medium_02): missed by annotator B, annotated PER_ROLE by A",PER_ROLE,New precedent formulated during the second half of adjudication (books processed after the initial 13-book subset); extends the A-11 role family to inanimate vehicle categories.
B-1,Sentiment,stable,Segmentation: direct-speech utterance + speech verb,A direct-speech utterance and the immediately following speech verb with an intonational characteristic are annotated as ONE sentiment unit if the speech verb carries no emotional information distinct from the utterance.,"«— Обними меня, мама! — просил он перед сном.»: A → two units; B → one unit","One unit, labeled by the resulting emotion","The most frequent segmentation-disagreement pattern (500+ multi-span groups of ~3,360 matched pairs). Transferred into the sentiment guidelines as Rule 8."
B-2,Sentiment,preliminary,Exclamation with an explicit joy marker → positive,"Exclamatory sentences with explicit markers of joy/delight («О!», «Ура!», «Как красиво!») are +1 POSITIVE; without an explicit marker → 0 NEUTRAL.","«О, это был самый настоящий цветущий сад!»: A → +1, B → 0",+1 POSITIVE,"Requires verification on exclamations with other markers («Какой ужас!», «Вот это да!»)."
B-3,Sentiment,preliminary,Fear-as-metaphor resolved by care within the same sentence,"If a phrase mentions worries/fear but the same sentence expresses care/support, the label follows the resulting emotion (care), not the trigger word.","«— Мне бы хотелось спрятать тебя от всех тревог на свете.»: A → -1, B → +1",+1 POSITIVE,Contrast with B-4: direction of emotion (care for another vs. own remorse) and presence of resolution within the sentence.
B-4,Sentiment,preliminary,Remorse without immediate resolution → negative,"If a character expresses remorse and no immediate positive resolution follows in the same/next sentence, the label remains -1 NEGATIVE.","«— Значит, я зря обидел бегемотика... И обезьянку.»: A → -1, B → 0",-1 NEGATIVE,
B-5,Sentiment,preliminary,Question without explicit emotion markers → neutral,Questions without explicit anxiety/fear markers are 0 NEUTRAL unless an explicitly negative emotion follows from the formulation or context.,"«— Где ты?»: A → 0, B → -1",0 NEUTRAL,Thin boundary with Rule 1 cases («Куда делся малыш?» → -1): decided by a loss-implying formulation or a broader anxiety context.
B-6,Sentiment,preliminary,Idyllic description of the world,"Landscape/expository descriptions receive +1 POSITIVE if they contain explicit positive evaluative features (warmth, care, beauty, coziness, abundance) rather than merely stating facts.","«В одной тёплой стране, где солнце заботливо согревало землю...»",+1 POSITIVE,
B-7,Sentiment,preliminary,Request for closeness,"Utterances expressing a need for love, support, or physical closeness are +1 POSITIVE when the emotional focus is on attachment and care.","«— Обними меня, мама! — просил он перед сном.»",+1 POSITIVE,Consistent with the B-3 principle: the resulting emotion is set by the overall emotional direction.
B-8,Sentiment,preliminary,Condescending or mentoring intonation without conflict,"Speech verbs and remarks conveying condescension, confidence, or a mentor's stance are not labeled negative in the absence of conflict, mockery, humiliation, or suffering.","«— Разумеется, — хмыкнул Марабу, посмотрев на неё сверху вниз.»",0 NEUTRAL,
B-9,Sentiment,preliminary,Positive imagery in the context of a looming threat,"Traditionally positive natural imagery does not receive +1 if the immediate context shows it becoming part of an unfavorable situation; if the negative is not yet expressed in the fragment but the positive reading is cancelled by neighbors, choose 0 NEUTRAL.",«Солнце всё так же лениво выкатывалось на небосклон и дарило миру своё тепло.»,0 NEUTRAL,
B-10,Sentiment,preliminary,Care under adverse circumstances,"Actions aimed at helping, caring, or supporting others receive +1 POSITIVE even against an unfavorable background; the act of care determines the resulting emotion.","«Каждое утро Обнимашка ... поливал цветы, поникшие от жары.»",+1 POSITIVE,
B-11,Sentiment,preliminary,Unfinished objection,Unfinished utterances expressing doubt or an attempted objection are neutral if the negative emotion/conflict appears only in the following utterance.,«— Но...»; «А если...»; «Подожди...»,0 NEUTRAL,
B-12,Sentiment,preliminary,A character's favorite activity or place,"Utterances describing a favorite activity, habit, or place are +1 POSITIVE if they express pleasure, attachment, comfort, or calm; a later unfavorable event does not change this fragment's label. Markers: любил, нравилось, обожал, с удовольствием.",«Он очень любил сидеть рядом с водой и смотреть на своё отражение.»,+1 POSITIVE,
B-13,Sentiment,preliminary,A character's helpless reaction,"Brief replies, gestures of helplessness, or withdrawal are -1 NEGATIVE if they express loneliness, loss, powerlessness, or consequences of misfortune.",«— Ква. — Лягушка развела лапками и прыгнула в кусты.»,-1 NEGATIVE,
B-14,Sentiment,preliminary,Statement of loss or destruction,"Utterances stating the loss, destruction, or serious deterioration of a significant object are -1 NEGATIVE; the focus on damage/loss determines the label. Markers: то, что осталось; всё погибло; он уже не тот.","«— Точнее, то, что от него осталось.»",-1 NEGATIVE,
B-15,Sentiment,preliminary,Value and the wish to preserve the beautiful,Utterances expressing admiration of beauty or a wish to preserve it are +1 POSITIVE; an unfavorable context does not cancel their positive orientation.,«— Чтобы мы могли им любоваться!..»,+1 POSITIVE,
B-16,Sentiment,preliminary,Acknowledgment of good intentions,Utterances acknowledging another's good intentions with understanding instead of condemnation are +1 POSITIVE even in a difficult situation.,"«— Ты хотел как лучше, — покачала головой Обнимама.»",+1 POSITIVE,
B-17,Sentiment,preliminary,Verbalization of a negative emotion,"Utterances directly naming a character's negative emotions («боялся», «грустил», «испугался») are -1 NEGATIVE regardless of the speaker or a supportive context.",«— А ещё ты очень боялся.»,-1 NEGATIVE,
B-18,Sentiment,preliminary,Fixation on the source of misfortune,"If a character concentrates solely on the object of loss or threat out of fear/anxiety/sadness, the fragment is -1 NEGATIVE.",«Поэтому смотрел лишь в высыхающий пруд.»,-1 NEGATIVE,
B-19,Sentiment,preliminary,Reframing the situation through support,"Questions/utterances aimed at broadening perspective, overcoming fear, or finding hope are +1 POSITIVE even if formally interrogative.","«Но что ты увидишь, если поднимешь голову?»",+1 POSITIVE,
B-20,Sentiment,preliminary,Incomprehension or clarification,Questions/utterances of incomprehension or clarification are 0 NEUTRAL in the absence of a negative emotional reaction.,«— Что — большая река? — не понял Марабу.»,0 NEUTRAL,
B-21,Sentiment,preliminary,Pointing out a limitation or obstacle,"Remarks about the impossibility/limitedness of a proposed action are 0 NEUTRAL if part of a joint search for a solution, without negative emotion or conflict.","«— Не у всех нас есть хоботы, — заметил волчонок Зо.»",0 NEUTRAL,
B-22,Sentiment,preliminary,Joint action for the sake of helping,"Collective actions united by a shared goal of helping/supporting are +1 POSITIVE (cooperation, unity, mutual aid).",«И все зверята ... отправились к Большой реке.»,+1 POSITIVE,
B-23,Sentiment,preliminary,End of misfortune and onset of well-being,"Fragments describing the resolution of a crisis, the return of life-sustaining conditions, or the end of misfortune are +1 POSITIVE.",«Наконец ... на высохшую землю пролился долгожданный дождь.»,+1 POSITIVE,
B-24,Sentiment,preliminary,Weakly expressed negative emotion without dramatization → neutral,"Weak negative states (boredom, tiredness) without dramatization, suffering, conflict, or intensifying markers are 0 NEUTRAL if the state is not dominant and the next sentence neutralizes the accent; with suffering/complaint/conflict → -1 NEGATIVE.","The airplane grew bored and looked down: A → -1, B → 0",0 NEUTRAL,Derived from 1 case; requires verification.
B-25,Sentiment,preliminary,Confrontational utterance with subsequent easing of tension,"If a segment opens with an aggressive/confrontational utterance and the continuation only softens its perception without changing its character, the label remains -1 NEGATIVE.","«— Ну, давайте, наябедничайте! — вдруг заверещал самосвал...»",-1 NEGATIVE,
